Domain,Domain_B,Full_Name,Name,Preamble,Positive,Negative,Q1_Outside_CC,Q1_Outside_OM,Q1_Outside_Final,Q3_Outside_CC,Q3_Outside_OM,Q3_Outside_Final,Dialectic_CC,Dialectic_OM,Dialectic_Final
Emotions,Judgment & Decision-making,Jennifer Lerner,Lerner,,"Sociologists, political scientists, behavioral scientists have recently written about the decline of social capital. And probably the most famous book on this is Bob Putnam's book ""Bowling Alone."" And, in a sense, in recent decades we've become a kind of hyper individualistic society, in the United States, even more so than we've ever been. Where, we listen to our own music, we individualize everything, and even when we're on public transportation, we're tuned in for our own podcasts, our own music, etc. So there has been this real decline in social capital, where we don't know our neighbors as much, we're not in clubs with them, we're not in bowling leagues. And so I think a positive benefit that is coming already, and will, I hope, continue out of the pandemic, is the recognition of how valuable community is. As the basic building block of social capital, many people are now learning who their neighbors are, even though they didn't know their neighbors before, because we've discovered that we need them. And people who are in many different social clubs, social support groups, community organizations are doing better in this pandemic, because they are receiving help. There are neighbors delivering groceries to elderly people, or people with chronic disease, that sort of thing. We're learning that this kind of maximalist individualism isn't necessarily the best way to be. That, in fact, we are better when we live within rich layers of community and social networks. ","This is a really hard question for me, because I think that there are so many significant negative aspects. Being the mother of a teenager, I can see how disillusioning it is for children to see the mishandling by government of this crisis. And I think that will have lasting effects. If we handle it the right way, as parents and in schools, this can be an energizing experience for a lot of young people, but I think it also will have lasting wounds of divisiveness, and disillusionment. I think we need to really work hard, ideally with a new administration, to help people believe again in government. That the people we vote for actually will represent us, keep us safe, not tell lies. And that's one of I think, the most negative devastating effects of this pandemic. I think probably the most devastating effect is the deaths and disease and suffering. Because, you know, there's nothing worse than that. And so I don't want to leave that unnoticed. Then in terms of other social aspects, I think the pandemic has been a great amplifier of existing fault lines. And so the divisions between rich and poor, between elites and non-elites has really been amplified. So, there are people like me, who get to work at home in the comfort of my WiFi-enabled house, and then there are people who have lost their livelihoods, because they were in the service sector, and those services are no longer being offered during the pandemic. Or a variety of other kinds of jobs that have gone by the wayside during the pandemic. And then, of course, differences in access to healthcare. And then the inherent biases within the healthcare system mean that African-American individuals have been dying at much higher rates than they should be relative to their representation within the population. So, a really frightening amplifier of our fault lines, of our weaknesses in society, that I can only hope that those of us who are in a position to take note of and make changes on will, that this will ultimately catalyze change. ",1,1,1,0,0,0,1,0,1
Clinical Psychology,,Katie McLaughlin,McLaughlin,,"these kinds of mass community stressors, or even traumatic events provide this opportunity for us to come together as communities. And one of the positive things that we've seen is this sort of enormous outpouring of behaviors that reflect help, helping behaviors towards one another in our communities. So, you know, at the beginning of the pandemic, you saw high school students playing musical instruments for residents of nursing homes who were isolated. And you see people of the communities who have a more advantage, who have more financial resources, giving to those in their communities who don't, people taking meals to older neighbors who are unable to go to the grocery store, to leave their houses as readily, because they're more vulnerable. And something that we know from psychological research says that in moments of stress when we give to others in our communities, when we help, those behaviors actually have a stress-buffering effect for those who are helping. So, they're not only positive for the people who receive the help. But giving of ourselves to others actually provides a stress buffering effect that prevents some of the negative health consequences of experiencing stress for those who are doing the helping. And so I think this is an opportunity for us to become more engaged with our communities and more committed to supporting and helping one another.
","Here, I would say, the mental health consequences of the pandemic are where I, you know, see the biggest potential for lasting negative effects. So, we know that exposure to stress is among the most powerful determinants of mental health problems like depression, anxiety, increases in substance use. And the pandemic has introduced innumerable stressors into the lives of everyone, whether it's changes in work, changes in children's ability to go to school, worries for the future, worries about our health and ability to access goods and services that we routinely engage in, and many, many, many others. And what we know is that work on resilience, such as the work of George Bonanno, has shown that even after very extreme traumatic stressors, many people do just fine. They exhibit resilience, about half of people across lots of different studies, even in the face of very extreme forms of stress. You know, their mental health and functioning remain high throughout. For the rest of people, we see about half of them so maybe 25%, maybe one third of people will experience a transient increase and symptoms like depression and anxiety that that go away over time. And that pattern is likely what we'll see here as well. But we also see that a smaller proportion of people anywhere from 15 to 30%, depending on the study experience increases in mental health problems like depression and anxiety that are going to persist over time, that may become more chronic. And that's really the group that I think we need to be thinking about in terms of interventions and ways of supporting those who have been more impacted in terms of mental health, with effects that could last well beyond when the pandemic ends. 
",1,1,1,1,1,1,1,0,0
Psychology & Aging,Motivation,Laura Carstensen,Carstensen,,"My hope is that one positive change that can come about because of the pandemic is that people will be better able to challenge and see some of the tacit assumptions that they make about life. The certainty with which we predict that our lives will remain stable, the certainty that we will have health and financial security and contact with our loved ones. And by recognizing the fragility of these aspects of our lives, they will come to have greater importance and greater value.","I fear that the pandemic has the potential to raise the sense of alienation from others and even a sense of fear of others. That we will keep our distance, so to speak, which we're being told to do every day, but to allow that to create a psychological distance between us as individuals and the people who live in our communities that we see every day. We need to connect with others around these times and... It would be a terrible shame if instead we distanced ourselves, and even worse, came to dislike and fear others.",0,0,0,0,0,0,0,0,0
Social Psychology,Political Science,Leaf Van Boven,VanBoven,,"The pandemic is obviously hugely disruptive. One of the things we know is that creates a sense of uncertainty and tentativeness and questioning about the way things work. Many people are asking what is it about the way our society works or the way my life works, that is working or not working. And that's not inherently positive, except that it sets up a frame of mind that makes it easier to change habits because we start to ask ourselves what should be different. Hopefully, we have the wisdom and the insight to recognize things like social relationships are important, and we want more of those. That many pointless meetings are not so valuable, and we want fewer of those. I think that there's an opportunity for positive change that needs to happen with some guidance. And when I say guidance, I really mean the kind of introspection and reflection that people can engage in about what are the important values. Hopefully that happens naturally. I think as psychologists and social behavioral scientists, we can help frame that question, help people think through the answers to those questions.","It stems from the same source of tentativeness and uncertainty. We're all asking what comes next? What does this mean for the way our society is structured? Those are difficult questions. And who poses the answers to those questions? Is it the case that autocratic leaders might answer those questions for us, might give us an easy answer where the answer is essentially, it's because of them, it's because of the out group. We know that people can be really easily pulled into these kinds of intergroup conflicts. Given that we're in this moment of uncertainty and tentativeness, will we allow other people provide us with an easy answer that really steers us toward the negative. And it's a very tempting psychological path to go down because it means blaming other people and not really confronting the difficult challenges in our own lives or in our own societies.",0,0,0,1,0,0,1,1,1
Emotions,Neuroscience,Lisa Feldman Barrett,FeldmanBarrett,,"I would say that as a scientist, one thing we know is that the best predictor of future behavior is past behavior. So, when you look at past epidemics, you can see that in a crisis like this, like the flu epidemic and others, similar, Spanish flu epidemic and at the turn of the century and other epidemics, one aspect of social life that did in some ways get better, was the stratification of society and to some extent, some forms of racism. So one thing that crises do like this is they kind of reveal the cracks in a society. And I think we saw this with just in recent weeks with the reaction to the George Floyd murder and the Black Lives movement, in the United States and in Canada, and in lots of countries around the world, so one possibility is that people will take action, they'll realize that one of our greatest strengths as a species is that we are social animals. And that means that we are necessary to each other's well-being. And so hopefully, now that these cracks have been revealed, many of us have known they've been there for a long time. We'll have the opportunity to do something about them.","It would probably be the same kind of thing in the sense when I said that if you look back to previous epidemics, you can see that there have been efforts that make things a little bit more egalitarian in certain ways where social stratification is reduced in certain ways. But there's also evidence that it goes the other way, that people become more entrenched in their in-group and out-group beliefs. And there's an opportunity, unfortunately, for increased racism in certain cases. In each case, when there’s been a large health crisis it's certain groups that benefit and other groups don't, what I mean by that is certain out-groups benefit and they do better actually, the minority culture broadens to include them more, but there are always out-groups that suffer more too. And I think that's a real danger here.",1,1,1,1,1,1,1,1,1
Evolutionary Psychology,Social Psychology,Mark Schaller,Schaller,,"For a lot of people in many parts of the world, particularly those of us who live in these relatively wealthy, modernized parts of the world, the threat posed by infectious diseases has kind of been off our radar, and this pandemic has changed that and as a result that's offered an opportunity at a massive worldwide scale to have increased awareness of, and education about the challenges that infectious diseases pose to people and pose to a way of life that we take for granted. This is maybe even more important, a means through which these challenges can be met. So it's really been an unprecedented learning opportunity. I think particularly to learn about how this is kind of weird and invisible force of nature can be mitigated through the coordinated combination of sensible thoughtful responses by individuals, by communities, by the folks who are entrusted to govern these communities. And these lessons, if in fact, we do learn them, can serve individuals and societies as we face additional challenges in the future.","The real negative consequence is that a hell of a lot of people have died and a hell of a lot of people are bereaved, and a hell of a lot of people are experiencing a lasting hit on their health and well-being. And it's a massive tragedy. People may be inclined to be more interpersonally wary of other people, even when the pandemic’s over and there isn't that increased risk of infection. People may still act as though there is. For the past several months, we have erected barriers between ourselves and other people. Some of those barriers are behavioral, there are restrictions, some self-imposed, some imposed by others, on who we interact with and how we interact with them. And some of these barriers are physical barriers, like these plexiglass shields that you see in grocery stores now. And I assume that over time, some of these barriers will dissolve. And, certainly the informal ones are likely to dissolve, I'm certainly looking forward to touching, hugging my friends again. But I'm guessing that some of these barriers are going to stick around for a while, and there'll be these consistent, persistent reminders of the pandemic. And that's perfectly sensible from an epidemiological perspective, but it's kind of a drag for interpersonal interaction. And so my concern is that there's going to be this persistent, lasting wariness of interactions with other people, especially strangers. that represents a low level erosion of interpersonal trust and erosion of social capital. ",0,0,0,0,0,0,0,0,0
Social Psychology,,Melody Chao,Chao,,"What we observe is that people have started reaching out to family and friends that they have not been in touch with for a long time. And so people might feel a stronger sense of connectedness. This observation is also consistent with some recent research findings showing that compared with before the pandemic, people during this pandemic actually feel more connected with the community. They also found that a stronger sense of community is associated with the ability to buffer them against experience of the stress. During the early stage of the pandemic, there were concerned that people might feel more isolated, they feel lonelier as a result of social distancing and social isolation. What some study have shown is that people actually acquire resilience during this pandemic, psychologically, and there were no drastic change in terms of people's experience of loneliness. If anything, people have a stronger sense of community connectedness with other people. That would be the potential positive change in terms of interpersonal domain. In terms of work domain, one observation is that in the past, usually we relied a lot on routine. And routines are something that are often unquestioned and unquestionable. People are just doing what they're doing, because that's how things have been; that's how things are like. We don't really ask questions about that. But with a pandemic, and with the change in work mode, people started asking questions like, is this essential? Is this necessary? Is this really a must? Is this travel a requirement? Do we have to travel to get this work done? People started asking questions that they might not have even considered asking before. And it helps to streamline some work processes. And some people actually found that to be more efficient in helping them to finish to get the work done. ","The most salient one is about the possibility that this pandemic is actually exaggerating initial inequality in a community. We talk about positive changes that in order to benefit from the positive change, people need to be able to adapt and adjust very quickly to the changing situations, to the changing requirement of work or school. And in order to adapt and adjust what would be needed? It would be access to resources. So, if you have more resources, you might be better able to adjust and adapt. But if you have limited resources, it makes it difficult. For example, from the standpoint of schools, when the children can no longer attend school in person, some schools that have more resources are able to adjust and change very quickly they started offering classes online, whereas for other schools, they might not have the technical support and resources to do that to offer classes online. Then what happens to the students? And even if the school were able to offer online classes, are the children able to attend those online classes? It depends on the amount to current resources that they have access to. And adding to the complexity is that when parents no longer have work, or they might be working from home, this all tie into access to resources. People are talking about how this pandemic is exaggerating the initial inequality that the societies have. Whereas people who have more resources are more able in adapting to the changes, and people who have limited resources would be disadvantaged further, because of this rapid change. In addition to that, other layers of negative impact can also be psychological. Though we talk about positive change where people have a stronger sense of community, at the same time, we also see that there are people experiencing distress.",1,1,1,0,0,0,1,1,1
Social Psychology,Cultural Psychology,Michael Bond,Bond,"people talk about the end of the pandemic and indeed one of your questions. What are you gonna do when it's over? Well, that presumes it's going to be over. And of course we all hope it's going to be over but who knows for sure. And, and if it's over, if it is over we need to realize I think that it it. It may not end just the same way Ebola has not ended. It's ended for some of us as a daily consideration and concern on the news. COVID May, and for some of us as a daily concern, but of course one of the issues one of the negative consequences that you have asked about regarding COVID of course, is that it knocks out the health delivery systems and the social support institutions. In less wealthy countries, and these are strangers in a strange land, who may not gather our empathy, attention, and then efficent as a species, that's one of the negative consequences, I think, psychologically and politically that emerge for me. possible consequences out of COVID-19 that will close the borders, hunker down take care of local business without realizing that all COVID business is international. whether we know it or not. And of course, we knowing it is maybe a presumption on my heavily informed Intellectual academic perspective on the situation. And surely if we've learned anything from American politics in the last three years is that it's very difficult to understand the full range of variable political social attitudes that people hold and hold to them strongly. Any holding strongly. And of course, it's the strength of this holding attitudes. That's a very important variable to consider, as we anticipate the future. When existential crisis are involved, I think people batten down the hatches as they used to say, in the Navy when they were hunkering through a star Tempest at sea and and become very insular, insulated, focused upon narrow Survival concerns whether we will emerge as ever. However, we emerge from COVID with a heightened sense of our international connectedness, indeed, even our social  connectedness interpersonal connectedness, that's another issue that's been highlighted and could be a negative consequence of our response to the experience of passing through COVID. There was a quote in The Guardian from somebody being interviewed, saying, your risk isn't my risk. Signaling, I think, that part of what people hope others will realize is that you can be taking a risk. That's your business, but it's no longer just your business, because you're taking a risk implicates me, I can involve me. If if you're not careful, and if you're reckless, then you can be taking me down as you go about your business willy nilly in this rather sociopathic way that many people have. ","Positive size societal change would be a redirection of social wealth through progressive taxation and that would channel itself into social institutions like employee protection, job retraining, health care and pollution control, welfare services, educational access, technical training for the fourth industrial revolution and guaranteed income, yielding greater freedom from disease, crime and natural disaster. The important psychological outcome for me would be a heightened awareness or common fate, and our ecological vulnerability. We've seen that vulnerability, of course, as we respond to the virus itself. There's a much wider consideration to make when we talk about ecological vulnerability, particularly, the climate crisis and pollution mechanisms that interfere with the basic human functioning, willingness to sacrifice our wealth and freedoms for the welfare of others. So that your risks should not be my risk locally, nationally and internationally. But that would require a willingness on everybody's part to exercise their freedoms within constraint, their wealth within beneficence, you might say, more broadly than presently defined. That should occur of course, psychologically, but would have to be reinforced societally.","Again, two parts, and I'll start with societal. My major concern about negative change is a reduced commitment on the part of all nations, particularly the more advantaged nations to international institutions. The other is wars promoted by groups who are exploiting weakened military and legal resistance that internal political systems create, potentiating the possibility for internal political violence,  which we know from the work of Rummel, Richard Rummel is a far greater promoter of homicide, what he calls democide, then are actual wars between nations. The additional feature about wars that can be potentiated is that there's going to be greater third party indifference and preoccupation so that you don't get the mediating roles being played to the same extent as nations who normally might step up for this mediation role, are preoccupied with dealing with the COVID and their own economic collapse. And we haven't seen the worst of it yet. I keep thinking of the quote from Plato, ""only the dead have seen the end of war"". Well, the likelihood of being dead is increasing as a consequence of COVID not only as a consequence of the illness itself, the virus, but also the ancillary destruction of other institutions, locally, including the health delivery system, where many people are denied access to that system have problems other than COVID-19. Psychological negative responses: heightened nationalism, skepticism about the efficacy of science, and the rise in what you would call virulent fundamentalism or authoritarianism. Cynicism and a sense of despair are certainly growing in some quarters. Not all, because some people, of course, are more resilient than others. But a sense of cynicism knows no personality, very few personality loadings and is a consequence of your understanding of how the world works. And if we get cynical about how the world works, it's really going to turn off our willingness as individuals to reengage.",0,0,0,1,1,1,1,1,1
Consumer Behavior,Social Psychology,Michael Norton ,Norton,,"One of the things that I think the pandemic has really highlighted even more than it was already being highlighted is inequality, not just income but in health outcomes. If you look at the people who are most affected by COVID, it's older people, it's people with pre-existing health conditions, it's lower income people, all people who are vulnerable in one way or another. And the pandemic sort of throws that into stark relief, even though we're aware of it, now we can really see how this plays out in the health domain. My hope is that people will see inequality in a different way than they were seeing it before and hopefully be more motivated to do something about it. ","I think this is going to vary a lot by country-to-country and by city-to-city and even by neighborhood to neighborhood. But, the role of trust in everyday life, I think, has taken a big hit. Both trust in big institutions like government and health agencies across the world, but also local trust in your local governments, and even in your neighbors and in your communities. Because we've been so isolated, and because we got hit by such a negative, external blow, it's hard to trust anymore. When things are going so badly, it's hard to know that you could ever trust again a big organization or even the people in your community. So there is, I think, a real worry, that that trust won't rebound a little bit so that we can have some faith in institutions and have some faith in our communities as we move forward. ",0,0,0,0,0,0,0,0,0
Cognitive Psychology,Social Psychology,Michael Ross,Ross,,"I can certainly say I don't have a clue but I can make some guesses with fairly low confidence. The two areas that I would think about - and then I'll focus on one-  is inequality and care for older people in long term care homes and nursing homes. Both of which have been exposed during the pandemic. If I had to guess in which area we might get movement, I would say not inequality. I think inequality is a tough nut to crack and I'm not sure we're prepared to deal with it. On the other hand, there's a chance that we'll think more seriously about how we care about the frail elderly and that we will force governments to enact legislation and think about putting more funding into these contexts in order to prevent what should have been a totally foreseeable consequence in terms of the effects of COVID-19 and long term care homes. We shouldn't take for granted that of course, older people are going to die from this because the statistics are hard to come by. But if you look at some statistics that the CDC has put out recently, it shows that the incidence of COVID-19 among 60 to 79 year olds is actually quite a bit lower than it is among 40 to 49 year olds and 50 to 60 year olds. To you and me, that's not a surprise because we wrote a paper that says the same thing with respect to scams. And I think it's a similar answer. If you focus on, the human body and just talk about older people being more vulnerable and having more vulnerable immune systems and having other kinds of diseases that make them more vulnerable, of course, you're going to assume older people are going to be more vulnerable. But if you think about lifestyle, and you realize that older people often don't go to nightclubs and do the kinds of things that might expose them to this virus, older people living in non-institutional settings, can actually do reasonably well. So it's not just a function of age, it is a function of setting. And we have to do something about those settings. And I think there's at least a small chance that we'll do something.","One concern I would have is that the effectiveness of government leaders and of so called experts in the area of infectious disease has been mixed. There have been some locations where they've done splendidly and they're well regarded. But there are lots of other locations in which neither the experts nor the government, that perhaps relies on the experts, have done all that well in predicting outcomes. Don't wear a mask, you don't need to a wear mask, masks aren’t gonna prevent anything and then a complete turnaround. And they express gross views with such incredible confidence. They’re one hundred percent sure masks aren’t effective, wash your hands, don't wear masks. So what I'm worried about is a lack of trust, that we’ll come not to trust both experts and government officials in those provinces, states, countries, where they have frankly screwed up. And it's easy to say hindsight is 2020. And, how could they know? Well, some people did know. And in some states and some provinces, and in some countries, they did anticipate, and they did a lot better. So I think they should be held to account. But I'm worried there'll be a lack of trust, and the consequences of that can be very negative. It can lead to walking away from the political process, not leading to experts, it could lead to a lot of things short of violence and that are negative. Not voting, because what's the point? They're all useless. That's one of the things, again, with low confidence because I don't think you can predict worth a damn. ",1,1,1,1,0,0,1,1,1
Cultural Psychology,Organizational behavior,Michele Gelfand,Gelfand,,"I expect that we're going to see an increase in gratitude. When we've been faced with a collective disaster, we really begin to appreciate the small things in life that we've taken for granted. I think we're going to be more grateful for a variety of things, even for things, like eating out going to concerts, being able to hug our friends again, and our loved ones and even for speaking on a crowded subway. In that sense, I think it's going to produce a lot of collective gratitude.","We’re going to need to find a way to forgive, the massive mistakes that we've made and to build trust, at least in the United States, where I'm located, in how we dealt with the pandemic. In the past, in our country, after 9/11, after World War Two, we really stood united. And we were able to sacrifice liberty for new rules, to overcome adversity. And this makes sense that when we experience a collective threat we need to come together. But during COVID-19, we saw a useless partisan conflict, great resistance in different parts of the country to things like wearing masks and social distancing, and we lost lives that could have been prevented. Have we been a stronger, more united culture and I think that we're going to need to really reckon with those mistakes.",0,0,0,1,1,1,0,0,0
Psychology & Aging,Wisdom,Monika Ardelt,Ardelt,,"One positive note might be that we realize that this kind of pandemics, or these kinds of global events, can only be solved if we work together as a community, as a world community. And that's does not only mean different countries working together, but also working together between rich and poor. So, because we are not safe if only the rich that the vaccines and the poor will not. And in some ways, what I hope what might come out of this is that this might be maybe a practice run for something more dangerous, more dangerous pandemic later, but also for the effect of global warming, quite frankly, because a lot of people say that this is a really existential threat and we all have to work together. So, maybe this is a kind of a practice run to get us all working together, and then using the established connections to work on global warming and maybe other global problems.","Wherever you have the positive side, we're realizing that we have to work together on this to overcome this. The other side of the coin is exactly that we become more self-centered and looking out for number one, and my tribe, which we have be seeing in the United States. You know, these really two tribes fighting each other and not really caring about others or caring about immigrants or caring about people who are poor, or who have no health insurance and all these kinds of things. So, because resources are scarce that means that we're fighting over the resources and just looking out for ourselves and... yeah, our own family, our… the people that think like us, that look like us. And that would be the unfortunate negative outcome if it comes to that.",0,0,0,0,0,0,1,1,1
Sociology & Biosocial Science,,Nicholas Christakis,Christakis,,"What the pandemic is doing is exploiting some very deep and fundamental aspects of human nature. We humans evolved to live in groups in very particular ways. And in some ways, you could even argue that the spread of germs is the price we pay for the spread of ideas. In other words, I come near you in order to benefit from the opportunity for social learning, and teaching, or we assemble ourselves in groups in order to be able to cooperate, for example, and achieve benefits as a group we couldn't as individuals. And these contagious pathogens have evolved to take into account the kind of network structure that we have, and the kind of social behaviors that we manifest. So if we didn't live socially, there'd be no opportunity for the germ to spread from me to you. These germs that we're facing, the pandemic we're facing right now, is exploiting that and attacking us, if you think about it, at our most fundamental humanity, at the fact that we are living as social animals. And ironically, therefore, in order to combat the pathogen, we have to abandon a whole set of behaviors that ordinarily are very normal to us, like spending time with our friends, or touching each other, consoling each other physically, for example, living socially in general. So we have to spread physically apart. But there are some things that the germ does not take away from us that are equally social and important and that we can use to combat the pathogen. And one of those things is that we can band together, to work together, to stay physically apart, for example. And another example is that we benefit from our capacity for cumulative culture, we benefit from the capacity that we have over millennia acquired information which we transmit about how to deal with pandemics. You don't need to reinvent the wheel, we don't need to needlessly die. Because we're rediscovering how to deal with a deadly germ, we can open up a book, or look online or consult an expert, all of those activities, opening up a book looking online consulting an expert, our social learning, and teaching and that is a key fundamental aspect of our species. What the epidemic is highlighted, the positive things that it's highlighted, is this kind of banding together and helping each other by a teaching. One example of that is also our very capacity to develop drugs and vaccines to develop pharmaceutical interventions to fight this germ, which other animals can’t do. And that's another wonderful quality that we have.","Many people have highlighted things like increasing loneliness, and which is true. And many children being out of school will experience adverse childhood events.  There's an epidemic of this even in the United States right now, of children whose parents get divorced or die, or live in poverty, many of our children are harmed by, unfortunately, even though they live in a rich country like ours, just by being children. And the pandemic has no doubt exacerbated this. It's killing people. It's stressing people out people lose their jobs, they suffer, their children suffer. There is, of course, the lockdown measures have led to an epidemic of loneliness, there's been a rise in intimate partner violence, because people are stuck at home, their police are less able to respond. So there's a lot of bad stuff that has happened as a result of the pandemic. There's no doubt about it. I mean, you have to understand that something very unusual in the life of our species has happened, it happened to have happened in 2020 when we're alive, it happens every 50 or 100 years. It just happens to be happening now, which is that a new serious pathogen is being introduced into our species and this germ SARS CoV-2 is going to circulate among us forever now, and it's going to do what it wants. There's some debate about whether viruses are living, but for the sake of argument, it's acting like a living thing. And it's had an ecological release. We're a wholly susceptible population. It's like releasing rats on an isolated island. And then they just decimate the local wildlife because that's what they do. That's what this germ is going to do. It's just going to move among us. It has its own will to survive, and it's just gonna kill us, until it ends.",1,0,0,1,0,0,1,0,0
Risk Governance & Sustainability,,Ortwin Renn,Renn,,"There are three major changes that I can foresee as part of the consequences of the pandemic. Number one is that people feel that our societies are more vulnerable than they thought before. And then we need to invest more in societal resilience. Second, is a belief that a lot of people now have the feeling that much of what they've done in the past, like going to conferences, using a lot of airplanes, or doing a lot of traveling is not really necessary, when you look at the possibilities that virtual reality can actually offer to you, specifically in terms of conferencing services. And number three, I can also see that some people, not all of them, are now questioning our patterns of consumption, that they feel now that things like health and like harmony with family and solidarity are so important, that many of the other things that they have strived for, like more income or more consumption, is not as important for having a happy life. So those are the three major implications that I can see coming from the pandemic. ","Looking into the German situation, I can see that the pandemic has also increased the polarization in society and polarization in two different fields. One is that we have more violations of equity, so that people are very differently affected by the pandemic, and specifically, the poor and the less educated, less skilled, have much more to suffer than the other ones. And secondly, I think that we have seen a polarization in political views that several groups in society feel very much estranged from the political sphere. They may not feel the solidarity, but rather feel that they have been obliged to do things that they don't want to do, and that have radicalized, at least some of the people on the far left or the far right, but also in different other areas of society.  ",0,0,0,0,0,0,0,0,0
Developmental Psychology,Moral Psychology,Paul Bloom,Bloom,,"The most significant change could come from this pandemic, is preparation for the next pandemic. If the next pandemic is a bird flu, that kills over 50% of the people who get it, it could be a species ending event, could be the end of civilization. And if this pandemic leads us to prepare better for the next one. It could be the greatest blessing we can imagine.","The worst change that could come from this pandemic, which is plausible, and we see it, is xenophobia. We get very caught up in our own small group, and we are dismissive, or worse, cruel and accusatory towards other groups. We see this both in the political spectrum where Republicans and Democrats are responding very differently to pandemic and often in very ugly ways. And we also see that in a national perspective where countries are blaming other countries and not working together enough.",0,0,0,0,0,0,0,0,0
Behavioral Science,Wellbeing,Paul Dolan,Dolan,,"For me, there's no doubt that the biggest benefit of lockdown has been the impact on the environment, the air is cleaner. And that's something that we can carry forward with us I think If we remind ourselves just how good that particular bit of experience has been, then maybe we can start doing something to mitigate climate change.","I think the biggest negative impact of the pandemic will be the policy response to shut schools. Not just the educational attainment and the widening inequalities that will come in that from schools being shut for significantly long periods, but the social interaction, the child development, all of those things that, I think, will show up in largely negative ways for many, many more years to come.",0,0,0,0,0,0,0,0,0
Emotions,Social Psychology,Paula Niedenthal,Niedenthal,,"I'm noticing that during this time, people are sitting with the details of their life, their families, their actual environment, their actual landscape, much more than they have done in the past, on average, and spending less time planning and constructing and anticipating an experience often somewhere else that they could possibly have to gain fulfillment or pleasure. For example, rather than planning a trip abroad that's filled with mishaps and standing in the rain and getting sick and potentially not having a lot of pleasure, but then deriving a lot of pleasure later when people give you social credit for doing that trip or where you can make it seem incredibly interesting. Instead of doing that people are walking to the store or making bread or discovering that the landscape around their home, whether it's urban or rural, is very beautiful. I think a benefit of that is that people continue to recognize the bottom up influences on their psychological well-being and their happiness as much as they recognize that happiness can be derived from social credit and from telling stories later about things that might elicit envy or just other kinds of social credit.","Because of my particular interests and research interests, people have noted a lot to me, what wearing masks over their faces does to them psychologically, and similarly, what working at home alone does to them and what they're referring to is deindividuation. So if you have a mask on your face, you don't really make eye contact with other people because you don't feel visible to them in the first place. Because much of your identity is gone. I pass people on bikes who I don't recognize to be my own neighbors. Our concern would be that these feelings of deindividuation also persist beyond this pandemic, where people are able to navigate in the social world with the feeling that nobody is really identifying them. And the costs that come with deindividuation are things like not feeling responsible for one's particular behavior or being unusually susceptible to social norms. So my concern is that this persists.",0,0,0,1,1,1,0,0,0
Emotions,Social Psychology,Paula Pietromonaco,Pietromonaco,,"One aspect of social life that is clearly impacted by the current pandemic is couples’ relationships. As a result of quarantines and social distancing, married and cohabiting couples are spending more time in the same space; often, while they're facing significant stress from an array of problems, such as financial losses, changes in their jobs or unemployment, lack of daycare and school closures and the daily stress of falling precautions to avoid contracting the virus. Some couples may be resilient in the face of these significant stressors and benefit from the opportunity to spend more time together, to work together, to solve problems, and to support each other. And by facing adversity together, their relationships may become even stronger in the long term. We know from a large body of research, that having supportive, well-functioning close relationships is closely tied to better emotional and physical health. And so an additional positive impact is that couples who are able to be resilient over time also may do better in terms of their health, and general wellbeing.","I just suggested that some couples will capitalize on opportunities for growth in their relationships. But these are likely to be couples who are not particularly economically or socially vulnerable. We know from many research studies that when people are faced with stress that comes from outside the relationship, such as financial or job stress, they're more likely to interact with their partner in ways that are potentially damaging to the relationship. They're more likely to be overly critical, or argue, to blame their partner to find it harder to listen to their partner's concerns and understand their partner's perspective. And over time, they may become less satisfied with their relationship and may even break up. So couples who are most vulnerable, those facing the most severe economic hardship, also may suffer the most damage to their relationships over the long term. ",1,1,1,1,1,1,1,1,1
Judgment & Decision-making,,Ralph Hertwig,Hertwig,"these are terrible questions, by the way. They are unanswerable. I mean, that there are so many things to be said about them, including predictions are always wrong. There is no that there's nothing just positive or everything that looks positive as negative, undesirable consequences. It's just there are so many layers to bet that one doesn't get to, to express. ","Well, let me first say that, as we all know, predictions are hard, especially when they are about the future. And another important insight that we should keep in mind is that nothing is per se, only positive or only negative. A lot of these things have unintended consequences, and they can be negative and positive. So, in answering your question, I think what the pandemic will do, it will work as a catalyst for a stronger digitalization, the impact of digital technologies on our life. And that is, in my view, going to have major consequences, of which I hope most are positive. It will affect the way we educated. It will affect the way we live, where we live, in cities or on the countryside. It will affect the way we work, our working hours, it will affect the way we shop, it will affect the way we interact with each other. These are going to be major changes. That will be my prediction. ","I think, unfortunately, the most notable difference that I fear is going to occur is an increase in inequality. I think that as a consequence of this pandemic, certain jobs will disappear. The importance of education will increase and some people in the way we educate now will be left behind. We will also see differences, of course, between countries. So, I think that both within our countries individually, but also globally, we will see, unfortunately, a real increase in inequality. ",0,0,0,0,0,0,1,1,1
